source_center,destination_center,volume,median_factor,median_actual,median_osrm,total_excess_delay,breach_legs,median_distance,ftl_share,breach_rate,source_name,dest_name
IND341001AAC,IND341030AAA,2,1.8787248787248787,71.0,38.0,66.0,2,41.841,1.0,1.0,Nagaur_KisanCo_D (Rajasthan),Tarnau_BsstdDPP_D (Rajasthan)
IND721139AAC,IND721636AAB,1,2.857142857142857,100.0,35.0,65.0,1,43.314800000000005,0.0,1.0,Panskura_Central_D_3 (West Bengal),Tamluk_Central_DPP_2 (West Bengal)
IND342005AAD,IND342902A1B,1,1.680851063829787,158.0,94.0,64.0,1,103.1401,1.0,1.0,Jodhpur_Basni_I (Rajasthan),IND342902A1B
IND781354AAA,IND781335AAA,2,3.133333333333333,47.0,15.0,64.0,2,19.553350000000002,1.0,1.0,Rangia_HosptlRd_D (Assam),Nalbari_Bhgtpura_D (Assam)
IND413002AAA,IND413307AAC,1,2.0,128.0,64.0,64.0,1,89.4707,0.0,1.0,Solapur_Central_I_2 (Maharashtra),Sangola_Central_DPP_3 (Maharashtra)
IND152107AAA,IND152026AAA,1,3.0,96.0,32.0,64.0,1,33.243,1.0,1.0,Malout_DC (Punjab),Muktsar_DPC (Punjab)
IND411033AAB,IND411057AAF,1,5.266666666666667,79.0,15.0,64.0,1,13.4217,0.0,1.0,Pune_Chinchwad DC (Maharashtra),Pune_East_D_7 (Maharashtra)
IND754103AAA,IND754142AAA,1,2.185185185185185,118.0,54.0,64.0,1,57.1658,1.0,1.0,Jagatsghpr_Markndpr_D (Orissa),Paradip_Udyabata_D (Orissa)
IND341030AAA,IND341303AAA,3,1.4666666666666666,66.0,45.0,64.0,3,55.5569,1.0,1.0,Tarnau_BsstdDPP_D (Rajasthan),Didwana_KatlaDPP_D (Rajasthan)
IND532001AAB,IND532201AAA,1,2.5609756097560976,105.0,41.0,64.0,1,57.6639,1.0,1.0,Srikakulam_Kuslpram_I (Andhra Pradesh),Tekkali_AmvdiDPP_D (Andhra Pradesh)
IND521105AAA,IND534001AAA,4,1.941176470588235,33.5,17.0,64.0,4,18.16985,1.0,1.0,HanumanJNC_VijywdRD_D (Andhra Pradesh),Eluru_Agraharm_DC (Andhra Pradesh)
IND505326AAA,IND505425AAA,1,2.8285714285714287,99.0,35.0,64.0,1,49.0874,1.0,1.0,Koratla_BhemuDPP_D (Telangana),DhrmpuriTS_HanumDPP_D (Telangana)
IND560300AAA,IND000000ACS,1,2.4318181818181817,107.0,44.0,63.0,1,41.2743,0.0,1.0,Bengaluru_KGAirprt_HB (Karnataka),BLR_HSR_Layout_PC (Karnataka)
IND400072AAA,IND421302AAG,1,4.0,84.0,21.0,63.0,1,26.4331,0.0,1.0,Mumbai_Tejpal_M (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra)
IND462021AAA,IND462001AAA,1,6.727272727272728,74.0,11.0,63.0,1,11.7024,0.0,1.0,Bhopal_Indrapri_DC (Madhya Pradesh),Bhopal_Old City (Madhya Pradesh)
IND695101AAB,IND691574AAA,20,1.2583333333333333,18.5,15.0,63.0,12,14.506599999999999,0.0,0.6,Attingal_Central_D_2 (Kerala),Kalluvathukal_Pariplly_D (Kerala)
IND361335AAA,IND360002AAB,1,1.3368983957219251,250.0,187.0,63.0,1,243.7123,1.0,1.0,Dwarka_StnRoad_DC (Gujarat),Rajkot_PedakRd_P (Gujarat)
IND411017AAA,IND412105AAC,2,2.852941176470588,48.5,17.0,63.0,2,17.191950000000002,0.0,1.0,PNQ Rahatani DPC (Maharashtra),Pune_North_D_3 (Maharashtra)
IND000000ACA,IND152026AAA,1,1.5299145299145298,179.0,117.0,62.0,1,154.5822,1.0,1.0,Ludhiana_MilrGanj_HB (Punjab),Muktsar_DPC (Punjab)
IND173220AAA,IND174103AAA,2,2.628571428571429,49.0,18.0,62.0,2,21.279449999999997,1.0,1.0,Parwanoo_Central_D_1 (Himachal Pradesh),Baddi_ByePass_D (Himachal Pradesh)
IND518206AAA,IND518222AAA,4,1.2666666666666666,57.0,44.5,62.0,3,35.9696,1.0,0.75,Betamcherla_CmtNgRod_D (Andhra Pradesh),Dhone_RmNyrDPP_D (Andhra Pradesh)
IND303008AAB,IND303338AAB,5,1.5333333333333334,44.0,30.0,62.0,4,32.7092,0.0,0.8,Dudu_NrainaRD_D (Rajasthan),Phulera_NarenaRD_D (Rajasthan)
IND786190AAA,IND786001AAB,1,2.452380952380953,103.0,42.0,61.0,1,59.6186,0.0,1.0,DoomDooma_Pthrgoan_D (Assam),Dibrugarh_Bokule_H (Assam)
IND577201AAA,IND577432AAA,1,2.355555555555556,106.0,45.0,61.0,1,62.0251,1.0,1.0,Shimoga_DC (Karnataka),Thirthahalli_NadthiCx_D (Karnataka)
IND410505AAB,IND411033AAA,2,2.189230769230769,56.0,25.5,61.0,2,24.3627,0.0,1.0,Rajgurunagar_Chakan_D (Maharashtra),Pune_Tathawde_H (Maharashtra)
IND585307AAB,IND585222AAA,4,1.4106606606606606,51.5,37.0,60.0,4,39.698949999999996,0.0,1.0,Chincholi_Mainroad_D (Karnataka),Sedam_DBRCmplx_D (Karnataka)
IND125047AAB,IND125050AAA,1,2.7142857142857144,95.0,35.0,60.0,1,44.6977,1.0,1.0,Hisar_AgrohDPP_D (Haryana),Fatehabad_SirsaDPP_D (Haryana)
IND722202AAA,IND722101AAC,4,1.5091954022988505,44.0,29.0,60.0,4,32.539,0.0,1.0,Barjora_Central_DPP_1 (West Bengal),Bankura_BhowmDPP_D (West Bengal)
IND333504AAA,IND332713AAA,2,1.75422138836773,70.0,40.0,60.0,2,44.45085,1.0,1.0,Khetri_NagarDPP_D (Rajasthan),NeemKaThana_War5DPP_D (Rajasthan)
IND263153AAB,IND263401AAA,1,2.5384615384615383,99.0,39.0,60.0,1,40.8,1.0,1.0,Rudrapur_UdhamNgr_H (Uttarakhand),Kashipur_BajprDPP_D (Uttarakhand)
IND000000ADM,IND683511AAA,1,3.3076923076923075,86.0,26.0,60.0,1,24.4293,0.0,1.0,Cochin_Kdvantra_D (Kerala),Aluva_Peedika_H (Kerala)
IND534001AAA,IND521225AAB,1,2.2,110.0,50.0,60.0,1,63.769400000000005,1.0,1.0,Eluru_Agraharm_DC (Andhra Pradesh),Vijayawada_Rynapadu_H (Andhra Pradesh)
IND535591AAA,IND535558AAA,3,2.1333333333333333,33.0,16.0,60.0,3,19.0487,1.0,1.0,Salur_ward9_D (Andhra Pradesh),Bobbili_ColegRd_D (Andhra Pradesh)
IND843126AAA,IND843109AAB,2,2.134615384615384,55.5,26.0,59.0,2,37.3762,0.0,1.0,Saraiya_Wardno4_D (Bihar),Kanti_Central_DPP_2 (Bihar)
