facility,name,betweenness,pagerank,in_degree,out_degree,degree,clustering,throughput_legs,total_excess_delay,delay_pct,betw_pct,thru_pct,bottleneck_score
IND261001AAA,Sitapur_Chowk_D (Uttar Pradesh),1.0946188537151365e-06,0.00021400854696282493,1,1,2,0.0,39,2434.0,0.8295111647555824,0.42033796016898006,0.8566686783343391,0.7121907060953531
IND262802AAA,Gola_BkgnRoad_D (Uttar Pradesh),1.0946188537151365e-06,0.00036865207163023074,1,1,2,0.0,41,2953.0,0.8605914302957152,0.42033796016898006,0.8762824381412191,0.7316535908267955
IND176303AAA,Dalhousie_Banikhet_D (Himachal Pradesh),1.0946188537151365e-06,0.0007933162819633177,2,1,3,0.6666666666666666,20,3056.0,0.8624019312009656,0.42033796016898006,0.5353047676523838,0.6643633071816536
IND450331AAA,Burhanpur_StRoad_D (Madhya Pradesh),1.0946188537151365e-06,0.0008281506178618648,1,1,2,1.0,29,1689.0,0.7483403741701871,0.42033796016898006,0.716053108026554,0.6434821967410984
IND361305AAC,Khambhalia_JdswarRD_D (Gujarat),1.0946188537151365e-06,0.00021400854696282493,1,2,3,0.3333333333333333,27,760.0,0.49577549788774894,0.42033796016898006,0.6831623415811708,0.5106216053108027
IND623407AAA,Thiruvadanai_RamnadRD_D (Tamil Nadu),1.0946188537151365e-06,0.0005037633191764521,1,1,2,0.0,30,439.0,0.32498491249245626,0.42033796016898006,0.7317441158720579,0.4349426674713337
IND176310AAA,Chamba_Bangotu_D (Himachal Pradesh),1.0946188537151365e-06,0.0007892559451254309,1,1,2,1.0,23,14091.0,0.9722389861194931,0.42033796016898006,0.6104405552202776,0.7343089921544961
IND361335AAA,Dwarka_StnRoad_DC (Gujarat),1.0946188537151365e-06,0.00037113171729531865,2,1,3,0.3333333333333333,13,278.0,0.21967410983705493,0.42033796016898006,0.37688593844296925,0.3113156306578153
IND560058AAB,Bengaluru_Peenya_IP (Karnataka),9.729945366356768e-07,0.0011455269986018878,3,3,6,0.8333333333333334,175,3369.0,0.8762824381412191,0.4164152082076041,0.9828002414001207,0.7596258298129149
IND673027AAB,Kozhikode_Feroke_H (Kerala),7.297459024767576e-07,0.00014026037177432277,1,2,3,0.3333333333333333,4,925.0,0.5660832830416416,0.4115872057936029,0.1388050694025347,0.4342788171394086
IND841301AAC,IND841301AAC,7.297459024767576e-07,0.00021400854696282493,1,1,2,0.0,2,144.0,0.13337356668678335,0.4115872057936029,0.0700060350030175,0.20416415208207606
IND494334AAB,Kanker_KrisnKunj_D (Chhattisgarh),7.297459024767576e-07,0.00021400854696282493,1,1,2,0.0,12,1200.0,0.6557030778515389,0.4115872057936029,0.3488231744115872,0.5210923355461677
IND841226AAB,Siwan_HnmntNgr_D (Bihar),7.297459024767576e-07,0.0003303742404453068,2,1,3,0.3333333333333333,6,287.0,0.22510561255280628,0.4115872057936029,0.19100784550392275,0.27423053711526857
IND493445AAB,Mahasamund_RajpurRD_D (Chhattisgarh),7.297459024767576e-07,0.0002975972736948614,1,1,2,0.0,12,1971.0,0.7824381412190706,0.4115872057936029,0.3488231744115872,0.5844598672299336
IND363421AAB,Limbdi_Busstand_D (Gujarat),7.297459024767576e-07,0.0002975972736948614,1,1,2,0.0,27,575.0,0.4091732045866023,0.4115872057936029,0.6831623415811708,0.4646952323476162
IND177101AAA,DehraGopipur_Central_D_1 (Himachal Pradesh),7.297459024767576e-07,0.00021400854696282493,1,2,3,0.0,6,205.0,0.17742908871454435,0.4115872057936029,0.19100784550392275,0.2503922751961376
IND768028AAB,Bargarh_GurpdDPP_D (Orissa),7.297459024767576e-07,0.0003625532561150564,1,1,2,0.0,2,46.0,0.04888352444176222,0.4115872057936029,0.0700060350030175,0.16191913095956548
IND768028AAA,Bargarh_JJCpxDPP_D (Orissa),7.297459024767576e-07,0.0006094288655186242,1,1,2,0.0,3,90.0,0.08901629450814726,0.4115872057936029,0.10651780325890163,0.18928786964393482
IND636016AAA,Salem (Tamil Nadu),7.297459024767576e-07,0.0001943423669125577,1,2,3,0.3333333333333333,20,476.0,0.3464091732045866,0.4115872057936029,0.5353047676523838,0.4037417018708509
IND609001AAA,Mylduthuri_Thiruviz_D (Tamil Nadu),7.297459024767576e-07,0.00021400854696282493,1,1,2,0.0,23,1294.0,0.6786360893180446,0.4115872057936029,0.6104405552202776,0.5848823174411588
IND770001AAA,Sundargarh_DiyoDPP_D (Orissa),7.297459024767576e-07,0.0003123394472141611,2,1,3,0.0,12,539.0,0.3856366928183464,0.4115872057936029,0.3488231744115872,0.3860591430295715
IND614018AAA,Mannargudi_Vadasari_D (Tamil Nadu),7.297459024767576e-07,0.0002975972736948614,1,1,2,0.0,22,1497.0,0.7217863608931805,0.4115872057936029,0.5887145443572722,0.6021122510561255
IND000000AFJ,Trivandrum_Pettah_D (Kerala),7.297459024767576e-07,0.00014908601039203528,1,2,3,1.0,22,99.0,0.09987929993964997,0.4115872057936029,0.5887145443572722,0.2911587205793603
IND363001AAA,Surendranagar_DC (Gujarat),7.297459024767576e-07,0.00021400854696282493,1,1,2,0.0,27,226.0,0.19130959565479783,0.4115872057936029,0.6831623415811708,0.355763427881714
IND504208AAB,Mancherial_Hitech_D (Telangana),5.473094268575683e-07,0.0011882823324718672,3,2,5,1.0,21,995.0,0.5911285455642727,0.40615570307785154,0.5618587809293905,0.5297827398913699
IND422605AAA,Sangamner_JawanChk_D (Maharashtra),5.473094268575683e-07,0.0003747544195479951,1,2,3,0.3333333333333333,20,702.0,0.468014484007242,0.40615570307785154,0.5353047676523838,0.46291490645745326
IND470117AAA,Khurai_Talaiya_D (Madhya Pradesh),5.473094268575683e-07,0.00036753599022933364,2,1,3,0.6666666666666666,9,575.0,0.4091732045866023,0.40615570307785154,0.2664453832226916,0.3797223898611949
IND244901AAC,Rampur_ThanaDPP_D (Uttar Pradesh),4.2568510977810854e-07,0.00018208380376671997,1,1,2,0.0,3,66.0,0.06547978273989137,0.4049487024743512,0.10651780325890163,0.17552806276403138
IND586211AAA,Indi_SindgiRD_D (Karnataka),3.648729512383788e-07,0.0006034853602263354,2,2,4,0.0,37,2178.0,0.8026554013277006,0.395896197948099,0.8340374170187085,0.6869040434520217
IND625531AAA,Theni_Rathnam_D (Tamil Nadu),3.648729512383788e-07,0.00019996127549834833,1,1,2,0.0,13,217.0,0.18678334339167169,0.395896197948099,0.37688593844296925,0.28753771876885936
IND571401AAA,Mandya_Dc (Karnataka),3.648729512383788e-07,0.00021400854696282493,1,1,2,0.0,19,58.0,0.057030778515389256,0.395896197948099,0.512070006035003,0.24969824984912492
