source_center,destination_center,volume,median_factor,median_actual,median_osrm,total_excess_delay,breach_legs,median_distance,ftl_share,breach_rate,source_name,dest_name
IND501359AAE,IND585104AAA,21,1.6666666666666667,280.0,168.0,2327.0,21,216.1291,1.0,1.0,Hyderabad_Shamshbd_H (Telangana),Gulbarga_Nehrugnj_I (Karnataka)
IND756032AAA,IND712311AAA,9,2.375,323.0,137.0,2320.0,9,189.0949,1.0,1.0,Jaleswar_NaturDPP_D (Orissa),Kolkata_Dankuni_HB (West Bengal)
IND121004AAB,IND000000ACB,34,1.809090909090909,118.5,65.0,2316.0,34,76.11519999999999,0.0,1.0,FBD_Balabhgarh_DPC (Haryana),Gurgaon_Bilaspur_HB (Haryana)
IND302014AAA,IND305001AAC,14,2.514150943396227,269.5,107.5,2289.0,14,144.8116,1.0,1.0,Jaipur_Hub (Rajasthan),Ajmer_FoySGRRD_I (Rajasthan)
IND302014AAA,IND110037AAM,14,1.737104564114948,353.5,202.0,2284.0,14,264.93674999999996,1.0,1.0,Jaipur_Hub (Rajasthan),Delhi_Airport_H (Delhi)
IND382430AAB,IND370201AAA,12,1.49375,478.0,320.5,2274.0,12,312.83595,1.0,1.0,Ahmedabad_East_H_1 (Gujarat),Gandhidham_Sector1A_IP (Gujarat)
IND000000ACB,IND110037AAK,39,1.8157894736842104,69.0,38.0,2258.0,39,38.8098,0.0,1.0,Gurgaon_Bilaspur_HB (Haryana),Delhi_Kapshera_L (Delhi)
IND281121AAB,IND110037AAM,13,2.15,254.0,119.0,2242.0,13,153.0465,1.0,1.0,Vrindavan_MathuraRD_D (Uttar Pradesh),Delhi_Airport_H (Delhi)
IND751002AAB,IND530012AAA,10,1.6707648776925885,557.0,332.0,2238.0,10,454.2031,1.0,1.0,Bhubaneshwar_Hub (Orissa),Visakhapatnam_Gajuwaka_IP (Andhra Pradesh)
IND151001AAA,IND160002AAC,21,1.5345911949685536,244.0,159.0,2235.0,21,203.2861,1.0,1.0,Bhatinda_DPC (Punjab),Chandigarh_Mehmdpur_H (Punjab)
IND585314AAA,IND585104AAA,16,4.757309941520468,177.0,38.0,2235.0,16,41.095600000000005,0.0,1.0,Aland_RazaviRd_D (Karnataka),Gulbarga_Nehrugnj_I (Karnataka)
IND403702AAA,IND575004AAB,8,1.9968409617198892,528.0,264.0,2213.0,8,301.88185,1.0,1.0,Canacona_CharRsta_D (Goa),Mangalore_Kuntikna_H (Karnataka)
IND532001AAB,IND530012AAA,22,2.101692484222605,175.5,84.0,2209.0,22,114.7462,0.0,1.0,Srikakulam_Kuslpram_I (Andhra Pradesh),Visakhapatnam_Gajuwaka_IP (Andhra Pradesh)
IND811399AAA,IND209304AAA,10,1.6361138522861398,526.0,322.0,2204.0,10,432.65895,1.0,1.0,Noida_Sector02_C (Uttar Pradesh),Kanpur_Central_H_6 (Uttar Pradesh)
IND000000ACB,IND110064AAA,48,1.6032786885245902,95.5,58.0,2194.0,43,55.7743,0.0,0.8958333333333334,Gurgaon_Bilaspur_HB (Haryana),Delhi_Mayapuri_PC (Delhi)
IND131028AAB,IND244235AAA,21,1.704,213.0,122.0,2194.0,21,153.9991,1.0,1.0,Sonipat_Kundli_H (Haryana),Gajraula_JawaharN_D (Uttar Pradesh)
IND395009AAA,IND395023AAD,16,9.583333333333332,155.5,17.0,2190.0,16,17.523899999999998,0.0,1.0,Surat_Central_D_12 (Gujarat),Surat_Central_I_4 (Gujarat)
